Food class level 1,Metrics,Concentration levels,Concentration levels
,Broad beans (without pods),1,493.61
,"Broad beans (without pods), PROCESS Cooking in water",3,333
,"Broad beans (without pods), PROCESS Steaming",3,333
,Canned or jarred chickpea,1,153.994
,Canned or jarred common beans,6,516.22
,Canned or jarred lentils,7.8,373.701
,Canned or jarred peas,31.4,266.06
,Capers buds,1,127.26
,Caraway fruit,5.2,3118.087
,Cardamom fruit,0,1757.797
,Cashew nuts,29,1595.387
,"Cashew nuts, PROCESS Baking",0,1548.723
,"Cashew nuts, PROCESS Cooking in water",0,1274.76
,"Cashew nuts, PROCESS Steaming",0,1515.458
,Cassia buds,0,1616.217
,Chestnut puree (castanea vulgaris),10.2,526.938
,Chestnuts,0,657.7
,"Chestnuts, PROCESS Baking",1.2,767.142
,"Chestnuts, PROCESS Cooking in water",2.2,710.974
,"Chestnuts, PROCESS Steaming",0,710.974
,Chickpea flour,2,1660.56
,Chickpeas (dry),2,1618.29
,"Chickpeas (dry), PROCESS Baking",0,5.77
,"Chickpeas (dry), PROCESS Cooking in water",1,442.79
,"Chickpeas (dry), PROCESS Steaming",1,442.79
,Cinnamon bark and similar-,15,1889.763
,Cloves buds,0,2211.487
,Coconut milk (cocos nucifera) liquid,3,369.56
,Coconuts,1,522.85
,"Coconuts, PROCESS Drying (dehydration)",12,941.48
,Coriander seed,26.2,2679.05
,Cumin seed,5.2,3313.697
,Dill seed,0,3278.58
,Fennel seed,0,3793.2
,Fenugreek seed,0,1332.203
,Garden peas (dry),3,1488.14
,"Garden peas (dry), PROCESS Cooking in water",1,440.001
,"Garden peas (dry), PROCESS Steaming",1,440.001
,Ginger roots,38.5,411.28
,Hazelnuts,13,1367.79
,"Hazelnuts, PROCESS Baking",14,1392.969
,"Hazelnuts, PROCESS Cooking in water",10,1134.733
,"Hazelnuts, PROCESS Steaming",10,1134.733
,Juniper berry,0,3102.017
,Kidney bean (dry seeds),16,2048.061
,"Kidney bean (dry seeds), PROCESS Baking",0,2256.746
,"Kidney bean (dry seeds), PROCESS Cooking in water",6,638.448
,"Kidney bean (dry seeds), PROCESS Steaming",6,638.448
,Lentils (dry),22,1494.877
,"Lentils (dry), PROCESS Cooking in water",8,503.657
,"Lentils (dry), PROCESS Steaming",8,503.657
,Lentils (without pods),32.5,1471.167
,"Lentils (without pods), PROCESS Cooking in water",12,464.324
,"Lentils (without pods), PROCESS Steaming",12,464.324
,Lima beans (without pods),0,2312.26
,"Lima beans (without pods), PROCESS Cooking in water",0,549.03
,"Lima beans (without pods), PROCESS Steaming",0,549.03
,Linseeds,4,1844.64
,Liquorice roots,0,3179.47
,Macadamias,7,655.54
,Mace aril,0,1002.247
,Mung beans (dry),146,1510.703
,"Mung beans (dry), PROCESS Cooking in water",90,435.756
,"Mung beans (dry), PROCESS Steaming",90,435.756
,Mustard seeds and similar-,0,2381.13
,Navy beans (dry seeds),12,1847.36
,"Navy beans (dry seeds), PROCESS Cooking in water",4,556.112
,"Navy beans (dry seeds), PROCESS Steaming",4,556.112
,Nutmeg seed,1.6,929.307
,"Olives, processed",2,195.125
,Paprika powder,4,3109.1
,Peanut butter,3,1276.03
,Peanuts,3,1408.24
,"Peanuts, PROCESS Baking",3,1418.6
,"Peanuts, PROCESS Cooking in water",0,1020.586
,"Peanuts, PROCESS Steaming",0,1020.586
,Peas (without pods) and similar-,37,523.64
,"Peas (without pods) and similar-, PROCESS Baking",39,473.715
,"Peas (without pods) and similar-, PROCESS Cooking in water",24,414.46
,"Peas (without pods) and similar-, PROCESS Steaming",38,414.46
,Pecans,13,1040.46
,"Peppercorn (black, green and white) and similar-",3,2067.397
,"Peppers, dried",0,2630.497
,Pine nut kernels and similar-,2,1747.517
,"Pine nut kernels and similar-, PROCESS Baking",2,1412.93
,"Pine nut kernels and similar-, PROCESS Cooking in water",0,1425.566
,"Pine nut kernels and similar-, PROCESS Steaming",0,1425.566
,Pistachios,63.7,1838.11
,"Pistachios, PROCESS Baking",6,1716.72
,"Pistachios, PROCESS Cooking in water",54,1514.24
,"Pistachios, PROCESS Steaming",54,1514.24
,Poppy seeds,18,3482.733
,"Poppy seeds, PROCESS Baking",18,3921.95
,Pumpkin seeds,6,2012.449
,"Pumpkin seeds, PROCESS Baking",7,2451.422
,"Pumpkin seeds, PROCESS Cooking in water",0,1184.58
,"Pumpkin seeds, PROCESS Steaming",0,1184.58
,Saffron,0,2297.43
,Sesame paste (tahini) (sesamus indicum),36,2402.012
,Sesame seeds,26.4,2361.94
,"Sesame seeds, PROCESS Baking",14,2022.499
,Soya proteins,32.5,2737.31
,Sunflower seeds,49,1915.63
,"Sunflower seeds, PROCESS Baking",51,1963.883
,"Sunflower seeds, PROCESS Cooking in water",0,1681.005
,"Sunflower seeds, PROCESS Steaming",0,1681.005
,Table olives and similar-,0,158.46
,Table olives ready for consumption,1,104.31
,"Thyme, dry",,
,Turmeric roots,0,3610.44
,Vanilla,0,1887.733
,Walnuts,6,1099.98
Meat and meat products,Bacon,8.65,483.08
,"Bacon, PROCESS Baking",13,563.25
,"Bacon, PROCESS Cooking in water",1.5,584.537
,"Bacon, PROCESS Frying",13,606.11
,"Bacon, PROCESS Steaming",1.5,584.537
,Beef kidney,165,530.7
,"Beef kidney, PROCESS Baking",150,517.432
,"Beef kidney, PROCESS Cooking in water",248,564.85
,"Beef kidney, PROCESS Frying",,
,"Beef kidney, PROCESS Steaming",248,564.85
,Beef liver,165,705.237
,"Beef liver, PROCESS Baking",146,688.968
,"Beef liver, PROCESS Cooking in water",215,579.288
,"Beef liver, PROCESS Frying",85,816.69
,"Beef liver, PROCESS Steaming",215,579.288
,"Beerwurst, PROCESS Baking",6.8,395.439
,"Beerwurst, PROCESS Cooking in water",6.8,395.439
,"Beerwurst, PROCESS Steaming",6.8,395.439
,Blood-type sausage,7,343.35
,"Blood-type sausage, QUAL Low fat (naturally or reduced)",1.1,362.105
,"Bockwurst, PROCESS Baking",10.9,344.138
,"Bockwurst, PROCESS Cooking in water",10.9,344.138
,"Bockwurst, PROCESS Steaming",10.9,344.138
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982
,"Bologna-type sausage, PROCESS Baking",1.9,335.204
,"Bologna-type sausage, PROCESS Cooking in water",8.66,314.393
,"Bologna-type sausage, PROCESS Steaming",8.66,314.393
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",8.66,387.855
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",8.66,387.855
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Cooking in water",21.5,830.0601
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Steaming",21.5,830.0601
,Bovine and pig fresh meat,12.25,514.803
,"Bovine and pig fresh meat, PROCESS Baking",4.8,503.249
,"Bovine and pig fresh meat, PROCESS Cooking in water",5.9,553.666
,"Bovine and pig fresh meat, PROCESS Frying",19.86,1078.048
,"Bovine and pig fresh meat, PROCESS Steaming",5.9,553.666
,"Bovine and pig fresh meat, QUAL Half fat or medium fat, PROCESS Frying",31.3,519.8928
,Bovine fresh meat,9,594.58
,"Bovine fresh meat, PROCESS Baking",14,635.126
,"Bovine fresh meat, PROCESS Cooking in water",13,501.293
,"Bovine fresh meat, PROCESS Frying",11,686.36
,"Bovine fresh meat, PROCESS Steaming",13,501.293
,Bovine heart,16,546.947
,"Bovine heart, PROCESS Baking",47.8,396.31
,"Bovine heart, PROCESS Cooking in water",13,508.06
,"Bovine heart, PROCESS Frying",8.9,396.527
,"Bovine heart, PROCESS Steaming",13,508.06
,Bovine marrowbone,21,27.653
,"Bovine meat, dried",1.78,1147.089
,"Bovine meat, dried, PROCESS Cooking in water",1.8,216.06
,"Bovine meat, dried, PROCESS Steaming",1.8,216.06
,Bovine stomach,0,133.903
,"Bovine stomach, PROCESS Baking",0,132.791
,"Bovine stomach, PROCESS Cooking in water",0,132.791
,"Bovine stomach, PROCESS Frying",0,132.791
,"Bovine stomach, PROCESS Steaming",0,132.791
,Bovine tail,3,477.18
,"Bovine tail, PROCESS Cooking in water",2,365.56
,"Bovine tail, PROCESS Frying",2.3,661.329
,"Bovine tail, PROCESS Steaming",2,365.56
,Bovine tongue,6.9,488.415
,"Bovine tongue, PROCESS Baking",6.4,426.614
,"Bovine tongue, PROCESS Cooking in water",6.2,316.899
,"Bovine tongue, PROCESS Frying",6.4,427.364
,"Bovine tongue, PROCESS Steaming",6.2,316.899
,Breakfast-type sausage,14,458.13
,"Breakfast-type sausage, PROCESS Baking",16,544.89
,"Breakfast-type sausage, PROCESS Cooking in water",15.1,386.658
,"Breakfast-type sausage, PROCESS Frying",7,533.9
,"Breakfast-type sausage, PROCESS Steaming",10.3,386.658
,Canned meat,7.44,270.261
,"Cervelat (swiss type), PROCESS Baking",13,417.911
,"Cervelat (swiss type), PROCESS Cooking in water",10.9,344.138
,"Cervelat (swiss type), PROCESS Steaming",10.9,344.138
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982
,Chicken fresh meat,12.2,641.57
,"Chicken fresh meat, PROCESS Baking",16.29,604.62
,"Chicken fresh meat, PROCESS Cooking in water",15.2,470.51
,"Chicken fresh meat, PROCESS Frying",15.29,762.49
,"Chicken fresh meat, PROCESS Steaming",15.2,470.51
,Chicken liver,164,601.393
,"Chicken liver, PROCESS Baking",120.1,489.274
,"Chicken liver, PROCESS Cooking in water",88.1,396.914
,"Chicken liver, PROCESS Frying",140,719.16
,"Chicken liver, PROCESS Steaming",90.3,396.914
,"Chicken, other organs (edible offal non-muscle)",94,474.51
,"Chicken, other organs (edible offal non-muscle), PROCESS Baking",117.9,486.811
,"Chicken, other organs (edible offal non-muscle), PROCESS Cooking in water",110,546.865
,"Chicken, other organs (edible offal non-muscle), PROCESS Steaming",110,546.865
,Chorizo and similar,25.92,613.595
,"Chorizo and similar, QUAL Low fat (naturally or reduced)",16,751.519
,Cooked bovine tongue,7.2,296.661
,"Cooked bratwurst-type sausage, PROCESS Baking",5,431.792
,"Cooked bratwurst-type sausage, PROCESS Cooking in water",10.5,375.019
,"Cooked bratwurst-type sausage, PROCESS Steaming",5.7,375.019
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",3.7,571.472
,Cooked other poultry meat,11,767.07
,Cooked pork ham,12,724.84
,Cooked pork tongue,12.7,484.248
,"Cooked sausages (generic), QUAL Low fat (naturally or reduced)",15.75,452.7
,"Cooked sausages (generic), QUAL Low sodium / reduced salt",9.9,425.827
,Cooked turkey meat,12.3,687.31
,"Corned beef, uncooked",9,320.427
,"Corned beef, uncooked, PROCESS Baking",1,399.899
,"Corned beef, uncooked, PROCESS Cooking in water",10,330.35
,"Corned beef, uncooked, PROCESS Frying",1,399.899
,"Corned beef, uncooked, PROCESS Steaming",10,330.35
,"Corned pork meat, cooked",10.83,656.969
,"Corned pork, uncooked, PROCESS Baking",0.4,346.748
,"Corned pork, uncooked, PROCESS Cooking in water",0.4,346.748
,"Corned pork, uncooked, PROCESS Steaming",0.4,346.748
,Cured pork fat,7.6,61.512
,Cured seasoned poultry meat,0.4,554.131
,"Cured seasoned poultry meat, PROCESS Baking",18.3,556.491
,"Cured seasoned poultry meat, PROCESS Cooking in water",0.3,500.632
,"Cured seasoned poultry meat, PROCESS Steaming",0.3,500.632
,"Deer, fallow fresh meat",10,590.773
,"Deer, fallow fresh meat, PROCESS Baking",1.2,661.623
,"Deer, fallow fresh meat, PROCESS Cooking in water",0.7,383.934
,"Deer, fallow fresh meat, PROCESS Steaming",0.7,383.934
,"Deer, red fresh meat",10,590.773
,"Deer, red fresh meat, PROCESS Baking",1.2,661.623
,"Deer, red fresh meat, PROCESS Cooking in water",0.7,383.934
,"Deer, red fresh meat, PROCESS Steaming",0.7,383.934
,Dry and fermented sausages-deprecated,19,533.24
,"Dry and fermented sausages-deprecated, QUAL Low fat (naturally or reduced)",11.92,454.275
,Duck fresh meat,38,342.743
,"Duck fresh meat, PROCESS Baking",25,453.138
,"Duck fresh meat, PROCESS Cooking in water",1.2,380.039
,"Duck fresh meat, PROCESS Steaming",1.2,380.039
,Duck liver,54,597.769
,"Duck liver, PROCESS Baking",115,619.86
,"Duck liver, PROCESS Frying",,392.69
,Equine fresh meat,6,551.68
,"Equine fresh meat, PROCESS Baking",13.1,806.613
,"Equine fresh meat, PROCESS Frying",2.6,583.94
,European moose meat,12.73,563.31
,"European moose meat, PROCESS Baking",12.9,944.4031
,"European moose meat, PROCESS Frying",,
,"Frankfurt-type sausage, PROCESS Baking",9,402.302
,"Frankfurt-type sausage, PROCESS Cooking in water",7.44,269.931
,"Frankfurt-type sausage, PROCESS Steaming",7.44,269.564
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",21.44,308.762
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",21.44,308.762
,"Frankfurter sausage, PROCESS Baking",9,402.302
,"Frankfurter sausage, PROCESS Cooking in water",7.44,269.261
,"Frankfurter sausage, PROCESS Steaming",9,415.604
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",21.44,308.762
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",15.4,534.859
,Fresh bratwurst,10.69,534.505
,"Fresh bratwurst, PROCESS Baking",10,430.612
,"Fresh bratwurst, PROCESS Cooking in water",10.3,386.658
,"Fresh bratwurst, PROCESS Steaming",10.3,386.658
,Fresh raw sausages,6,475.79
,"Fresh raw sausages, PROCESS Baking",16,544.89
,"Fresh raw sausages, PROCESS Cooking in water",16.9,386.658
,"Fresh raw sausages, PROCESS Frying",16,534.113
,"Fresh raw sausages, PROCESS Steaming",10.3,386.658
,Fresh smoked sausages-deprecated,7.7,420.495
,"Fresh smoked sausages-deprecated, QUAL Low fat (naturally or reduced)",15.4,840.99
,"Fresh smoked sausages-deprecated, QUAL Low sodium / reduced salt",7.7,420.495
,Fresh spiced sausages in casing,10.69,532.505
,"Fresh spiced sausages in casing, PROCESS Baking",13.88,666.33
,Game birds fresh meat,13,455.659
,"Game birds fresh meat, PROCESS Baking",22,737.97
,"Game birds fresh meat, PROCESS Cooking in water",1.2,378.189
,"Game birds fresh meat, PROCESS Steaming",1.2,378.189
,"Generic traditionally farmed mammals, fresh fat tissue",0.2,77.582
,"Generic traditionally farmed mammals, fresh fat tissue, PROCESS Cooking in water",1.4,293.37
,"Generic traditionally farmed mammals, fresh fat tissue, PROCESS Steaming",1.4,293.37
,German salami,25.92,473.428
,"German salami, QUAL Low fat (naturally or reduced)",18.92,461.116
,Goat fresh meat,1.13,614.593
,"Goat fresh meat, PROCESS Baking",9,627.165
,"Goat fresh meat, PROCESS Cooking in water",1.1,794.25
,"Goat fresh meat, PROCESS Steaming",1.1,794.25
,"Goat liver, PROCESS Baking",152,603.91
,Goose fresh meat,2,468.543
,"Goose fresh meat, PROCESS Baking",2,593.018
,"Goose fresh meat, PROCESS Cooking in water",0.2,471.848
,"Goose fresh meat, PROCESS Steaming",0.2,471.848
,Goose liver,21,572.905
,"Goose liver, PROCESS Baking",144,485.03
,"Goose liver, PROCESS Cooking in water",21,566.003
,"Goose liver, PROCESS Frying",21,266.12
,"Grouse fresh meat, PROCESS Baking",21,737.97
,Guinea-fowl fresh meat,0.4,585.373
,"Ham, beef",16.6,610.177
,"Ham, beef, PROCESS Baking",7.3,610.177
,"Ham, beef, PROCESS Cooking in water",7.3,610.177
,"Ham, beef, PROCESS Steaming",7.3,610.177
,"Ham, pork",11.61,356.155
,"Ham, pork, PROCESS Baking",15,659.41
,"Ham, pork, PROCESS Cooking in water",12.44,460.919
,"Ham, pork, PROCESS Steaming",12.44,460.919
,Hare fresh meat,25,671.76
,"Hare fresh meat, PROCESS Baking",19.6,660.033
,"Hare fresh meat, PROCESS Cooking in water",4.7,515.981
,"Hare fresh meat, PROCESS Steaming",4.7,515.981
,Head cheese,12.74,527.614
,Hungarian-type salami,15.4,516.619
,"Hungarian-type salami, QUAL Low fat (naturally or reduced)",8.1,751.519
,Italian-type salami,11,459.545
,"Knackwurst-type sausage, PROCESS Baking",6.6,383.967
,"Knackwurst-type sausage, PROCESS Cooking in water",7.44,269.101
,"Knackwurst-type sausage, PROCESS Steaming",6.6,383.967
,"Knackwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",7.44,306.231
,Liver based spreadable-textured specialities,27,642.98
,Liver cheese,38.59,623.046
,Liver-type sausage,30,491.98
,"Liver-type sausage, QUAL Low fat (naturally or reduced)",43.9,779.014
,Luncheon spiced ham-type tinned meat,22,376.958
,Mallard fresh meat,3,541.249
,"Mallard fresh meat, PROCESS Baking",1.3,646.492
,"Mallard fresh meat, PROCESS Cooking in water",1.2,378.189
,"Mallard fresh meat, PROCESS Steaming",1.2,378.189
,Matured charcuterie products for cooking,11.5,510.546
,Meat based spreadable-textured specialities,16,403.534
,Mettwurst-type sausage,11.92,475.225
,"Mettwurst-type sausage, QUAL Low fat (naturally or reduced)",47.82,1134.03
,Miscellaneous cooked sausages,15.9,419.406
,Mixed beef and mutton/lamb fresh meat,20,623.5178
,"Mixed beef and mutton/lamb fresh meat, QUAL Half fat or medium fat",,206.04
,"Mixed beef and mutton/lamb fresh meat, QUAL Low fat (naturally or reduced)",,215.15
,Mixed fresh fat tissue,0.2,76.882
,"Mixed fresh fat tissue, PROCESS Baking",141.7,706.84
,Mixed fresh meat,22.8,548.917
,"Mixed fresh meat, PROCESS Baking",9.3,485.937
,"Mixed fresh meat, PROCESS Cooking in water",11.4,534.119
,"Mixed fresh meat, PROCESS Steaming",11.4,534.119
,"Mixed fresh meat, QUAL Half fat or medium fat",,508.87
,"Mixed fresh meat, QUAL Low fat (naturally or reduced)",3,556.95
,Mixed pork and mutton/lamb fresh meat,0.6,489.308
,"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Cooking in water",22.4,697.4754
,"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Steaming",22.4,697.4754
,Mortadella-type sausage,21,459.22
,"Mortadella-type sausage, QUAL Low fat (naturally or reduced)",9.66,391.32
,Pancetta,,645.495
,"Pancetta, PROCESS Baking",1,479.75
,Partridge fresh meat,16.8,803.714
,"Partridge fresh meat, PROCESS Baking",0.84,825.369
,"Partridge fresh meat, PROCESS Cooking in water",0.43,484.42
,"Partridge fresh meat, PROCESS Steaming",0.43,484.42
,"Pastrami, beef",1.8,500.96
,"Pate, chicken liver",8,642.38
,"Pate, goose liver",82.9,609.946
,"Pate, pork liver",38.55,387.571
,Pheasant fresh meat,3,797.022
,"Pheasant fresh meat, PROCESS Baking",17,653.68
,"Pheasant fresh meat, PROCESS Cooking in water",0.5,458.338
,"Pheasant fresh meat, PROCESS Frying",0.5,458.338
,"Pheasant fresh meat, PROCESS Steaming",0.5,458.338
,Pig fresh meat,14,617.14
,"Pig fresh meat, PROCESS Baking",17,616.75
,"Pig fresh meat, PROCESS Cooking in water",22,566.36
,"Pig fresh meat, PROCESS Frying",21,926.75
,"Pig fresh meat, PROCESS Steaming",22,566.36
,Pig kidney,190,522.717
,"Pig kidney, PROCESS Baking",13.5,519.607
,"Pig kidney, PROCESS Cooking in water",265,580.17
,"Pig kidney, PROCESS Frying",298,909.65
,"Pig kidney, PROCESS Steaming",265,580.17
,Pig liver,65,762.597
,"Pig liver, PROCESS Baking",25.1,709.896
,"Pig liver, PROCESS Cooking in water",76,721.81
,"Pig liver, PROCESS Frying",113.4,971.14
,"Pig liver, PROCESS Steaming",76,721.81
,Pig trotters and feet,,311.27
,"Pig trotters and feet, PROCESS Cooking in water",1,286.03
,"Pig trotters and feet, PROCESS Steaming",1,286.03
,Pigeon fresh meat,0.5,646.113
,"Pigeon fresh meat, PROCESS Baking",0,796.13
,"Pigeon fresh meat, PROCESS Frying",0.4,655.324
,Polish-type cooked sausage,12,668.46
,Ptarmigan fresh meat,,754.24
,Quail fresh meat,0.5,553.997
,"Quail fresh meat, PROCESS Baking",0.4,502.713
,"Quail fresh meat, PROCESS Cooking in water",0.33,604
,"Quail fresh meat, PROCESS Steaming",0.33,604
,Rabbit fresh meat,27,642.88
,"Rabbit fresh meat, PROCESS Baking",38.4,558.839
,"Rabbit fresh meat, PROCESS Cooking in water",19,421.986
,"Rabbit fresh meat, PROCESS Steaming",19,421.986
,Reindeer meat,35,569.307
,"Reindeer meat, PROCESS Baking",34.3,540.134
,"Reindeer meat, PROCESS Cooking in water",48.8,1167.6107
,"Reindeer meat, PROCESS Frying",,
,"Reindeer meat, PROCESS Steaming",48.8,1167.6107
,Roe deer meat,10.4,618.647
,"Roe deer meat, PROCESS Baking",1.2,708.456
,"Roe deer meat, PROCESS Cooking in water",0.7,410.573
,"Roe deer meat, PROCESS Steaming",0.7,410.573
,Sheep fresh meat,4,494.62
,"Sheep fresh meat, PROCESS Baking",7,615.27
,"Sheep fresh meat, PROCESS Cooking in water",5,502.93
,"Sheep fresh meat, PROCESS Frying",6,597.57
,"Sheep fresh meat, PROCESS Steaming",5,502.93
,Sheep kidney,167,581
,"Sheep kidney, PROCESS Baking",56.9,537.773
,"Sheep kidney, PROCESS Cooking in water",40.8,421.723
,"Sheep kidney, PROCESS Frying",263,699.29
,"Sheep kidney, PROCESS Steaming",40.8,421.723
,Sheep liver,96,753.14
,"Sheep liver, PROCESS Baking",31.2,673.174
,"Sheep liver, PROCESS Cooking in water",31.2,673.174
,"Sheep liver, PROCESS Frying",145,925.54
,"Sheep liver, PROCESS Steaming",31.2,673.174
,"Smoked cooked sausage-deprecated, PROCESS Baking",11.1,335.204
,"Smoked cooked sausage-deprecated, PROCESS Cooking in water",12.6,509.408
,"Smoked cooked sausage-deprecated, PROCESS Steaming",10.4,415.604
,"Smoked cooked sausage-deprecated, QUAL Low fat (naturally or reduced), PROCESS Baking",7.8,274.8822
,"Smoked cooked sausage-deprecated, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",12.5,516.015
,Snack sausages (like Cabanos and landj�ger),1.8,338.687
,"Snack sausages (like Cabanos and landj�ger), QUAL Low fat (naturally or reduced)",0.7,654.463
,Teewurst-type sausage,6.64,561.529
,"Teewurst-type sausage, QUAL Low fat (naturally or reduced)",23.6,840.804
,"Teewurst-type sausage, QUAL Low sodium / reduced salt",4.4,417.334
,Thuringian sausage,9.3,401.644
,"Thuringian sausage, PROCESS Baking",10.3,386.658
,"Thuringian sausage, PROCESS Cooking in water",10.3,386.658
,"Thuringian sausage, PROCESS Steaming",10.3,386.658
,Tinned bulk sausages,7.2,534.883
,Tiroler speck,1.5,212.772
,"Tiroler speck, PROCESS Cooking in water",1.2,163.096
,"Tiroler speck, PROCESS Steaming",1.2,163.096
,Turkey fresh meat,15,605.83
,"Turkey fresh meat, PROCESS Baking",18,669.19
,"Turkey fresh meat, PROCESS Cooking in water",21,442.26
,"Turkey fresh meat, PROCESS Frying",16,759.22
,"Turkey fresh meat, PROCESS Steaming",21,442.26
,"Turkey liver, PROCESS Baking",178,592.574
,"Undefined mixed fresh meat, other species",10.7,548.917
,"Undefined mixed fresh meat, other species, PROCESS Baking",9.3,485.937
,"Undefined mixed fresh meat, other species, PROCESS Cooking in water",11.4,534.119
,"Undefined mixed fresh meat, other species, PROCESS Steaming",11.4,534.119
,"Undefined mixed poultry fresh meat, PROCESS Baking",21.57,624.532
,"Undefined mixed poultry fresh meat, PROCESS Cooking in water",21.57,624.532
,"Undefined mixed poultry fresh meat, PROCESS Steaming",21.57,624.532
,Veal kidney,165,531.217
,"Veal kidney, PROCESS Baking",204.4,569.56
,"Veal kidney, PROCESS Cooking in water",22.4,569.56
,"Veal kidney, PROCESS Steaming",22.4,569.56
,Veal liver,186,755.704
,"Veal liver, PROCESS Baking",171.8,631.114
,"Veal liver, PROCESS Cooking in water",118.9,521.327
,"Veal liver, PROCESS Frying",128,593.35
,"Veal liver, PROCESS Steaming",118.9,521.327
,Weisswurst,13.9,316.72
,"Wiener sausage, PROCESS Baking",10.3,411.741
,"Wiener sausage, PROCESS Cooking in water",7.44,269.261
,"Wiener sausage, PROCESS Steaming",17.5,411.741
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",0.4,467.526
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",7.44,310.681
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.4,467.526
,Wild boar fresh meat,5,571.943
,"Wild boar fresh meat, PROCESS Baking",15.8,707.98
,"Wild boar fresh meat, PROCESS Cooking in water",3.3,405.998
,"Wild boar fresh meat, PROCESS Steaming",3.3,405.998
,Wild goose fresh meat,0.3,653.223
,"Wild goose fresh meat, PROCESS Baking",0.3,888.18
,"Wild goose fresh meat, PROCESS Cooking in water",0.2,471.848
,"Wild goose fresh meat, PROCESS Steaming",0.2,471.848
Milk and dairy products,Acidophilus milk,1.13,352.558
,"Acidophilus milk, QUAL Semi-skimmed",1.13,352.298
,"Acidophilus milk, QUAL Skim",1.13,352.32
,Ass milk,1.1,250.932
,Buttermilk,1.1,379.6
,"Buttermilk, QUAL Fat free",1.13,351.708
,"Buttermilk, QUAL Low fat (naturally or reduced)",1.13,352.508
,"Cheese, asiago",31.7,1552.99
,"Cheese, bavarian blue",1.2,1055.37
,"Cheese, beaufort",16.04,1886.73
,"Cheese, bleu d'auvergne",,
,"Cheese, blue castello",9.2,1055.37
,"Cheese, brie",10.6,602.78
,"Cheese, brie, QUAL Half fat or medium fat",15.2,722.925
,"Cheese, butterkase",24,1839.967
,"Cheese, butterkase, QUAL Half fat or medium fat",2,1840.763
,"Cheese, butterkase, QUAL Low fat (naturally or reduced)",2,1840.763
,"Cheese, caciocavallo",,1639.251
,"Cheese, caerphilly",23.1,1072.13
,"Cheese, camembert",15.1,603.62
,"Cheese, cantal",12.3,1449.82
,"Cheese, chaource",12.6,323.13
,"Cheese, cheddar",30.1,1321.84
,"Cheese, cheddar, QUAL Half fat or medium fat",23.3,1620.73
,"Cheese, cheddar, QUAL Low fat (naturally or reduced)",1,2022.155
,"Cheese, cheshire",22.9,1076.73
,"Cheese, cheshire, QUAL Half fat or medium fat",31.4,1336.81
,"Cheese, cheshire, QUAL Low fat (naturally or reduced)",1,1803.49
,"Cheese, chevre mould ripened",12.5,517.61
,"Cheese, comte",,
,"Cheese, coulommiers",12.8,1058.315
,"Cheese, danbo",17.8,1401.42
,"Cheese, danbo, QUAL Half fat or medium fat",21,1751.84
,"Cheese, danbo, QUAL Low fat (naturally or reduced)",22,2351.98
,"Cheese, edam",16.1,1437.29
,"Cheese, edam, QUAL Half fat or medium fat",51.8,1513.139
,"Cheese, edam, QUAL Low fat (naturally or reduced)",54.6,1512.31
,"Cheese, emmental",19,1697.477
,"Cheese, emmental, QUAL Half fat or medium fat",22,2281.169
,"Cheese, emmental, QUAL Low fat (naturally or reduced)",1,2022.117
,"Cheese, feta",11.1,760.56
